Lon,Lat,dist(km),depth(m)
123.98,23.33,0,-3628
123.95,23.28,6,-5167
123.93,23.23,12,-5391
123.9,23.18,18,-5677
123.88,23.12,24,-6217
123.85,23.07,31,-6254
123.83,23.02,37,-6320
123.8,22.97,43,-6346
123.78,22.92,49,-6438
123.75,22.87,56,-6341
123.73,22.82,62,-6282
123.7,22.77,68,-6087
123.68,22.71,74,-5972
123.65,22.66,81,-5498
123.63,22.61,87,-5758
123.6,22.56,93,-5543
123.58,22.51,99,-5597
123.55,22.46,106,-5773
123.53,22.41,112,-5849
123.5,22.36,118,-5821
123.48,22.3,124,-5800
123.45,22.25,130,-5522
123.43,22.2,137,-5347
123.4,22.15,143,-5639
123.38,22.1,149,-5662
123.35,22.05,155,-5650
123.33,22,162,-5402
123.3,21.95,168,-5449
123.28,21.89,174,-5548
123.25,21.84,180,-5874
123.23,21.79,187,-5702
123.2,21.74,193,-5925
123.18,21.69,199,-6010
123.15,21.64,205,-6100
123.13,21.59,212,-5797
123.1,21.54,218,-5644
123.08,21.48,224,-5638
123.05,21.43,230,-5476
123.03,21.38,237,-5511
123,21.33,243,-4528
